01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,186376,0,0,324,458,9
2,apalache,NoError,556,0,400148,0,0,1874,2568,13
3,apalache,NoError,719,0,441436,0,0,10874,18796,12
4,apalache,NoError,67,0,608340,0,0,27187,118053,17
5,apalache,NoError,3216,0,1721564,0,0,67597,293895,17
6,apalache,NoError,7,0,243332,0,0,1458,2146,13
7,apalache,NoError,78,0,275084,0,0,2320,5387,19
8,apalache,NoError,11,0,291804,0,0,4302,6798,15
9,apalache,NoError,20,0,449464,0,0,14461,23452,20
10,apalache,NoError,114,0,578952,0,0,20053,40196,20
11,apalache,NoError,1317,0,1097548,0,0,38838,74022,26
12,apalache,NoError,33,0,244392,0,0,2508,4417,12
13,apalache,NoError,2715,0,294720,0,0,3337,7283,12
14,apalache,NoError,3599,0,738064,0,0,17887,24789,11
15,apalache,NoError,14572,0,1324348,0,0,28969,40704,11
16,apalache,NoError,4222,0,1330944,0,0,63705,132969,18
