01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,313148,0,0,585,1890,9
2,apalache,NoError,46,1,689844,0,0,21461,99377,13
3,apalache,NoError,4,0,304888,0,0,1000,5837,12
4,apalache,NoError,9,1,365544,0,0,5057,34607,12
5,apalache,NoError,4,0,295776,0,0,141,296,9
6,apalache,Error,4,0,291780,0,0,26,48,7
7,apalache,NoError,4,0,306708,0,0,364,2609,6
8,apalache,NoError,7,1,337460,0,0,4525,23395,13
