01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,5,0,202560,0,0,328,482,9
2,apalache,NoError,551,0,409736,0,0,1884,2580,13
3,apalache,NoError,975,0,538220,0,0,10894,18857,12
4,apalache,NoError,82,0,618908,0,0,27594,120244,17
5,apalache,NoError,2791,0,1616960,0,0,68004,296086,17
6,apalache,NoError,9,0,250600,0,0,1486,2192,13
7,apalache,NoError,95,0,270116,0,0,2353,5472,19
8,apalache,NoError,13,0,347604,0,0,4302,6798,15
9,apalache,NoError,30,0,557632,0,0,14461,23452,20
10,apalache,NoError,235,0,669508,0,0,20074,40225,20
11,apalache,NoError,1725,0,1240420,0,0,38851,74056,26
12,apalache,NoError,46,0,303468,0,0,2697,4672,12
13,apalache,NoError,2990,0,327612,0,0,3200,7053,12
14,apalache,NoError,8208,0,1065012,0,0,18405,25472,11
15,apalache,NoError,6675,0,1078628,0,0,29815,41810,11
16,apalache,NoError,4005,0,1962540,0,0,73860,164317,25
