01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,214892,0,0,328,482,9
2,apalache,NoError,484,0,419708,0,0,1884,2580,13
3,apalache,NoError,739,0,566528,0,0,10894,18857,13
4,apalache,NoError,53,0,600184,0,0,27594,120244,17
5,apalache,NoError,2670,0,1609348,0,0,68004,296086,17
6,apalache,NoError,7,0,277432,0,0,1486,2192,14
7,apalache,NoError,83,0,306648,0,0,2353,5472,21
8,apalache,NoError,10,0,354056,0,0,4302,6798,16
9,apalache,NoError,22,0,588756,0,0,14461,23452,21
10,apalache,NoError,144,0,767548,0,0,20074,40225,22
11,apalache,NoError,1462,0,1280760,0,0,38851,74056,29
12,apalache,NoError,33,0,295044,0,0,2697,4672,12
13,apalache,NoError,2358,0,335416,0,0,3200,7053,12
14,apalache,NoError,2901,0,793164,0,0,18405,25472,12
15,apalache,NoError,9094,0,1342500,0,0,29815,41810,12
16,apalache,NoError,4000,0,2217072,0,0,73927,164670,27
