01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,20:nstates
1,tlc,Error,2,11,134748,2303
2,tlc,Error,2,13,177084,12045
3,tlc,Error,2,15,302776,62429
4,tlc,Error,4,17,657848,321427
5,tlc,Error,21,19,2408064,1646703
6,tlc,Error,126,21,3592148,8403855
7,tlc,Error,636,23,4084620,42758323
8,tlc,Error,3488,25,4645504,217018245
9,tlc,Timeout,3601,0,4666608,0
10,tlc,Timeout,3601,0,4628116,0
11,tlc,Timeout,3601,0,4669112,0
