01:no,02:tool,03:status,04:time_sec,05:mem_kb
1,z3,Fail,1,19216
2,z3,Fail,1,19464
3,z3,Fail,1,19956
4,z3,Fail,1,20000
5,z3,Fail,1,19948
6,z3,Fail,1,20088
7,z3,Fail,1,20228
8,z3,Fail,1,20372
9,z3,Fail,1,20640
10,z3,Fail,1,20976
11,z3,Fail,1,20952
