01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,183336,0,0,312,442,9
2,apalache,NoError,539,0,397576,0,0,1874,2568,13
3,apalache,NoError,921,0,397008,0,0,10825,18684,12
4,apalache,NoError,66,0,494764,0,0,27079,117945,17
5,apalache,NoError,2822,0,1346620,0,0,67327,293625,17
6,apalache,NoError,7,0,235940,0,0,1438,2146,13
7,apalache,NoError,81,0,263764,0,0,2300,5387,19
8,apalache,NoError,9,0,250760,0,0,4301,6797,15
9,apalache,NoError,20,0,415824,0,0,14460,23451,20
10,apalache,NoError,110,0,625364,0,0,20031,40139,20
11,apalache,NoError,1777,0,1145468,0,0,38807,73939,26
12,apalache,NoError,35,0,247292,0,0,2710,4678,12
13,apalache,NoError,2684,0,281384,0,0,3266,7234,12
14,apalache,NoError,1657,0,513228,0,0,15562,20095,13
15,apalache,NoError,11702,0,1210236,0,0,24853,33017,13
16,apalache,NoError,3490,0,1226332,0,0,72578,111809,35
