01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,197008,0,0,324,458,9
2,apalache,NoError,484,0,400048,0,0,1874,2568,13
3,apalache,NoError,951,0,457436,0,0,10851,18677,12
4,apalache,NoError,74,0,595900,0,0,27187,118053,17
5,apalache,NoError,3177,0,1605280,0,0,67597,293895,17
6,apalache,NoError,7,0,256808,0,0,1458,2146,13
7,apalache,NoError,80,0,279496,0,0,2320,5387,19
8,apalache,NoError,11,0,300928,0,0,4302,6798,15
9,apalache,NoError,19,0,452812,0,0,14461,23452,20
10,apalache,NoError,175,0,615556,0,0,20063,40229,20
11,apalache,NoError,2158,0,1094064,0,0,38845,74080,26
12,apalache,NoError,34,0,259072,0,0,2585,4509,12
13,apalache,NoError,2568,0,284468,0,0,3204,6816,12
14,apalache,NoError,2714,0,736436,0,0,17887,24789,11
15,apalache,NoError,10804,0,1313360,0,0,28969,40704,11
16,apalache,NoError,3649,0,1312896,0,0,63715,132972,18
