01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,201364,0,0,328,482,9
2,apalache,NoError,518,0,441732,0,0,1874,2568,13
3,apalache,NoError,649,0,540064,0,0,10894,18857,12
4,apalache,NoError,47,0,665508,0,0,27594,120244,17
5,apalache,NoError,3066,0,1689088,0,0,68004,296086,17
6,apalache,NoError,7,0,298552,0,0,1486,2192,13
7,apalache,NoError,84,0,287588,0,0,2353,5472,19
8,apalache,NoError,11,0,322644,0,0,4302,6798,15
9,apalache,NoError,20,0,581440,0,0,14461,23452,20
10,apalache,NoError,154,0,729132,0,0,20059,40210,20
11,apalache,NoError,1188,0,1266356,0,0,38854,74059,26
12,apalache,NoError,32,0,329076,0,0,2697,4672,12
13,apalache,NoError,2367,0,357900,0,0,3200,7053,12
14,apalache,NoError,2401,0,763628,0,0,18405,25472,11
15,apalache,NoError,7302,0,1236148,0,0,29815,41810,11
16,apalache,NoError,5004,0,1899156,0,0,73892,164403,25
