01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,4,224760,0,0,514,1038,8
2,apalache,NoError,239,15,320896,0,0,3146,7312,10
3,apalache,NoError,876,8,403300,0,0,13367,37944,11
4,apalache,NoError,92,12,569572,0,0,27413,152199,12
5,apalache,NoError,2683,30,971980,0,0,67373,372987,12
6,apalache,NoError,8,7,320640,0,0,2242,5947,11
7,apalache,NoError,131,7,325036,0,0,3771,18794,14
8,apalache,NoError,18,10,333320,0,0,7751,22032,12
9,apalache,NoError,49,10,603732,0,0,27149,105493,14
10,apalache,NoError,251,10,747612,0,0,39422,161764,14
11,apalache,NoError,1395,11,1231900,0,0,75161,391672,15
12,apalache,NoError,61,11,364280,0,0,3232,10692,11
13,apalache,NoError,3469,10,346520,0,0,4212,16070,11
14,apalache,NoError,2492,13,501992,0,0,18616,44482,11
15,apalache,NoError,4679,14,511664,0,0,28771,71623,11
16,apalache,NoError,4670,8,1783516,0,0,68909,253378,25
