01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,193976,0,0,324,458,9
2,apalache,NoError,482,0,397692,0,0,1874,2568,13
3,apalache,NoError,833,0,441844,0,0,10859,18726,12
4,apalache,NoError,72,0,574296,0,0,27187,118053,17
5,apalache,NoError,2814,0,1459092,0,0,67597,293895,17
6,apalache,NoError,7,0,237216,0,0,1458,2146,13
7,apalache,NoError,90,0,261344,0,0,2320,5387,19
8,apalache,NoError,11,0,293992,0,0,4302,6798,15
9,apalache,NoError,17,0,461636,0,0,14461,23452,20
10,apalache,NoError,68,0,621648,0,0,20060,40211,20
11,apalache,NoError,1181,0,1211232,0,0,38841,74046,26
12,apalache,NoError,36,0,260520,0,0,2466,4386,12
13,apalache,NoError,2652,0,266744,0,0,3337,7283,12
14,apalache,NoError,2829,0,708348,0,0,17887,24789,11
15,apalache,NoError,11161,0,1288136,0,0,28969,40704,11
16,apalache,NoError,2549,0,1306664,0,0,63736,133103,18
