01:no,02:tool,03:status,04:time_sec,05:mem_kb
1,z3,Fail,1,19280
2,z3,Fail,1,19596
3,z3,Fail,1,20008
4,z3,Fail,1,20044
5,z3,Fail,1,20328
6,z3,Fail,1,20896
7,z3,Fail,1,21052
8,z3,Fail,1,21424
9,z3,Fail,1,21624
10,z3,Fail,1,22104
