01:no,02:tool,03:status,04:time_sec,05:mem_kb
1,z3,Fail,1,21068
2,z3,Fail,1,20996
3,z3,Fail,1,21104
4,z3,Fail,1,21780
5,z3,Fail,1,22292
6,z3,Fail,3,23732
7,z3,Fail,5,25576
8,z3,Fail,13,32684
9,z3,Fail,55,42424
10,z3,Fail,243,54368
11,z3,Fail,1695,78536
