01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,212556,0,0,324,458,9
2,apalache,NoError,507,0,421972,0,0,1874,2568,13
3,apalache,NoError,749,0,537952,0,0,10853,18707,12
4,apalache,NoError,65,0,635604,0,0,27594,120244,17
5,apalache,NoError,2520,0,1524652,0,0,68004,296086,17
6,apalache,NoError,7,0,247568,0,0,1486,2192,13
7,apalache,NoError,74,0,289436,0,0,2353,5472,19
8,apalache,NoError,12,0,299256,0,0,4302,6798,15
9,apalache,NoError,19,0,484348,0,0,14461,23452,20
10,apalache,NoError,96,0,630240,0,0,20056,40184,20
11,apalache,NoError,1011,0,1108616,0,0,38834,73988,26
12,apalache,NoError,34,0,271716,0,0,2765,4829,12
13,apalache,NoError,2481,0,357348,0,0,3236,7095,12
14,apalache,NoError,3099,0,870160,0,0,18405,25472,11
15,apalache,NoError,6925,0,1150656,0,0,29815,41810,11
16,apalache,NoError,2959,0,1815316,0,0,73462,163096,25
