01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,191736,0,0,324,458,9
2,apalache,NoError,487,0,402296,0,0,1874,2568,13
3,apalache,NoError,779,0,425812,0,0,10869,18754,12
4,apalache,NoError,68,0,572656,0,0,27187,118053,17
5,apalache,NoError,3027,0,1467936,0,0,67597,293895,17
6,apalache,NoError,7,0,245652,0,0,1458,2146,13
7,apalache,NoError,78,0,272156,0,0,2320,5387,19
8,apalache,NoError,11,0,289088,0,0,4302,6798,15
9,apalache,NoError,19,0,471812,0,0,14461,23452,20
10,apalache,NoError,100,0,599728,0,0,20057,40200,20
11,apalache,NoError,2166,0,1029496,0,0,38838,74022,26
12,apalache,NoError,40,0,256864,0,0,2607,4538,12
13,apalache,NoError,2732,0,266848,0,0,3153,6879,12
14,apalache,NoError,2931,0,717992,0,0,17887,24789,11
15,apalache,NoError,11510,0,1334036,0,0,28969,40704,11
16,apalache,NoError,3246,0,1241160,0,0,63715,132972,18
