01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,203492,0,0,328,482,9
2,apalache,NoError,526,0,409788,0,0,1884,2580,13
3,apalache,NoError,719,0,553252,0,0,10894,18857,13
4,apalache,NoError,62,0,617856,0,0,27594,120244,17
5,apalache,NoError,2792,0,1678516,0,0,68004,296086,17
6,apalache,NoError,6,0,265680,0,0,1486,2192,14
7,apalache,NoError,70,0,295028,0,0,2353,5472,21
8,apalache,NoError,10,0,392232,0,0,4302,6798,16
9,apalache,NoError,16,0,578972,0,0,14461,23452,21
10,apalache,NoError,153,0,767572,0,0,20074,40225,22
11,apalache,NoError,1761,0,1353100,0,0,38851,74056,29
12,apalache,NoError,33,0,294260,0,0,2697,4672,12
13,apalache,NoError,2399,0,333284,0,0,3200,7053,12
14,apalache,NoError,3056,0,830692,0,0,18405,25472,12
15,apalache,NoError,6942,0,1121536,0,0,29815,41810,12
16,apalache,NoError,4408,0,1957224,0,0,73927,164670,26
