01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,192916,0,0,4,3,5
2,apalache,NoError,3,0,198264,0,0,31,37,11
3,apalache,NoError,3,0,221264,0,0,73,92,14
4,apalache,NoError,4,0,229572,0,0,123,159,16
5,apalache,NoError,9,0,210664,0,0,181,238,18
6,apalache,NoError,40,0,214620,0,0,247,329,19
7,apalache,NoError,540,0,232412,0,0,321,432,20
8,apalache,NoError,5628,0,356796,0,0,403,547,22
9,apalache,NoError,4,0,196388,0,0,5,5,6
10,apalache,NoError,5,0,193836,0,0,51,61,12
11,apalache,NoError,5,0,207964,0,0,139,166,18
12,apalache,NoError,5,0,235588,0,0,259,307,23
13,apalache,NoError,7,0,243560,0,0,411,484,29
14,apalache,NoError,77,0,235072,0,0,595,697,36
15,apalache,Timeout,7200,0,3592,0,0,730,862,40
16,apalache,Timeout,7200,0,3624,0,0,776,935,42
