01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,12,0,486776,0,0,549,1521,10
2,apalache,NoError,44,0,815648,0,0,14903,37690,17
3,apalache,NoError,7,0,262904,0,0,805,2980,17
4,apalache,NoError,11,0,331216,0,0,3855,15480,18
5,apalache,NoError,9,0,284080,0,0,151,197,10
6,apalache,NoError,8,0,314100,0,0,659,1270,16
7,apalache,NoError,7,0,293696,0,0,369,2236,6
8,apalache,NoError,11,0,437476,0,0,3445,10111,18
