01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,13,0,534448,0,0,549,1495,10
2,apalache,NoError,43,0,981856,0,0,14903,36870,17
3,apalache,NoError,8,0,277156,0,0,805,2857,18
4,apalache,NoError,13,0,439832,0,0,3855,15111,18
5,apalache,NoError,8,0,301604,0,0,151,187,11
6,apalache,NoError,9,0,304968,0,0,659,1187,19
7,apalache,NoError,9,0,299276,0,0,369,2216,6
8,apalache,NoError,12,0,427028,0,0,3445,9988,18
