01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,10,0,495816,0,0,549,1521,10
2,apalache,NoError,36,0,968712,0,0,14903,37690,17
3,apalache,NoError,7,0,272872,0,0,805,2980,17
4,apalache,NoError,11,0,341312,0,0,3855,15480,18
5,apalache,NoError,7,0,305976,0,0,151,197,10
6,apalache,NoError,8,0,310096,0,0,659,1270,17
7,apalache,NoError,6,0,301520,0,0,369,2236,6
8,apalache,NoError,9,0,477500,0,0,3445,10111,18
