01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,202776,0,0,328,482,9
2,apalache,NoError,495,0,409496,0,0,1884,2580,13
3,apalache,NoError,770,0,528692,0,0,10894,18857,13
4,apalache,NoError,72,0,651608,0,0,27594,120244,17
5,apalache,NoError,2922,0,1680144,0,0,68004,296086,17
6,apalache,NoError,8,0,289728,0,0,1486,2192,14
7,apalache,NoError,83,0,294220,0,0,2353,5472,21
8,apalache,NoError,11,0,383364,0,0,4302,6798,16
9,apalache,NoError,19,0,598876,0,0,14461,23452,21
10,apalache,NoError,203,0,769956,0,0,20074,40225,22
11,apalache,NoError,1835,0,1286720,0,0,38851,74056,29
12,apalache,NoError,40,0,292120,0,0,2697,4672,12
13,apalache,NoError,2981,0,339276,0,0,3200,7053,12
14,apalache,NoError,3130,0,855852,0,0,18405,25472,12
15,apalache,NoError,7604,0,1290020,0,0,29815,41810,12
16,apalache,NoError,4602,0,2209180,0,0,73927,164670,27
