01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,207472,0,0,328,482,9
2,apalache,NoError,762,0,475616,0,0,1884,2580,13
3,apalache,NoError,763,0,565572,0,0,10894,18857,12
4,apalache,NoError,108,0,805576,0,0,27594,120244,17
5,apalache,NoError,3287,0,1930344,0,0,68004,296086,17
6,apalache,NoError,7,0,304608,0,0,1486,2192,13
7,apalache,NoError,86,0,303612,0,0,2353,5472,19
8,apalache,NoError,11,0,347192,0,0,4302,6798,15
9,apalache,NoError,25,0,670468,0,0,14461,23452,20
10,apalache,NoError,198,0,703880,0,0,20074,40225,20
11,apalache,NoError,1957,0,1284672,0,0,38851,74056,26
12,apalache,NoError,36,0,308336,0,0,2697,4672,12
13,apalache,NoError,2205,0,352416,0,0,3200,7053,12
14,apalache,NoError,2511,0,776716,0,0,18405,25472,11
15,apalache,NoError,9854,0,1285220,0,0,29815,41810,11
16,apalache,NoError,6343,0,2075152,0,0,73892,164403,25
