01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,9,4,65292,0,0,514,1038,8
2,apalache,NoError,152,15,65052,0,0,3146,7312,10
3,apalache,NoError,525,8,63284,0,0,13367,37944,11
4,apalache,NoError,46,12,63312,0,0,35155,243290,12
5,apalache,NoError,1568,30,64792,0,0,86491,597926,12
6,apalache,NoError,5,7,66764,0,0,2242,5947,11
7,apalache,NoError,72,7,63208,0,0,3771,18794,14
8,apalache,NoError,8,10,67120,0,0,7751,22032,12
9,apalache,NoError,18,10,63052,0,0,27149,105493,14
10,apalache,NoError,103,10,65196,0,0,39422,161764,14
11,apalache,NoError,1018,11,65464,0,0,75161,391672,15
12,apalache,NoError,32,11,65112,0,0,3232,10692,11
13,apalache,NoError,2478,10,65192,0,0,4212,16070,11
14,apalache,NoError,823,13,65160,0,0,18609,44454,11
15,apalache,NoError,4477,14,63456,0,0,28771,71623,11
16,apalache,NoError,2947,8,63428,0,0,68909,253378,25
