01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,5,0,216316,0,0,328,482,9
2,apalache,NoError,258,0,270948,0,0,1884,2577,13
3,apalache,NoError,658,0,513252,0,0,10882,18709,13
4,apalache,NoError,72,0,554204,0,0,27594,119223,17
5,apalache,NoError,2386,0,886292,0,0,68004,293625,17
6,apalache,NoError,8,0,269064,0,0,1486,2137,14
7,apalache,NoError,83,0,308880,0,0,2353,5350,21
8,apalache,NoError,12,0,347776,0,0,4302,6689,16
9,apalache,NoError,34,0,611516,0,0,14461,23343,21
10,apalache,NoError,152,0,779456,0,0,20071,37537,23
11,apalache,NoError,2342,0,1243752,0,0,38855,68422,31
12,apalache,NoError,42,0,309792,0,0,2697,4499,12
13,apalache,NoError,2840,0,366340,0,0,3200,6911,13
14,apalache,NoError,2492,0,499480,0,0,16326,20593,15
15,apalache,NoError,6217,0,631800,0,0,25872,32529,15
16,apalache,NoError,3949,0,2196980,0,0,73869,163064,27
