01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,183468,0,0,324,458,9
2,apalache,NoError,411,0,370856,0,0,1874,2568,13
3,apalache,NoError,725,0,473192,0,0,10863,18753,12
4,apalache,NoError,67,0,624896,0,0,27187,118053,17
5,apalache,NoError,2620,0,1472088,0,0,67597,293895,17
6,apalache,NoError,6,0,247228,0,0,1458,2146,13
7,apalache,NoError,63,0,268176,0,0,2320,5387,19
8,apalache,NoError,8,0,304428,0,0,4302,6798,15
9,apalache,NoError,14,0,504660,0,0,14461,23452,20
10,apalache,NoError,81,0,626944,0,0,20050,40178,20
11,apalache,NoError,1472,0,1107692,0,0,38834,73988,26
12,apalache,NoError,33,0,253848,0,0,2552,4472,12
13,apalache,NoError,2431,0,309596,0,0,3187,7103,12
14,apalache,NoError,2628,0,732748,0,0,17887,24789,11
15,apalache,NoError,10886,0,1340244,0,0,28969,40704,11
16,apalache,NoError,2577,0,1297904,0,0,63735,133071,18
