01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,5,0,206992,0,0,328,482,9
2,apalache,NoError,516,0,417628,0,0,1884,2580,13
3,apalache,NoError,965,0,575244,0,0,10894,18857,12
4,apalache,NoError,66,0,610972,0,0,27594,120244,17
5,apalache,NoError,3183,0,1694036,0,0,68004,296086,17
6,apalache,NoError,8,0,262340,0,0,1486,2192,13
7,apalache,NoError,97,0,301964,0,0,2353,5472,19
8,apalache,NoError,12,0,329308,0,0,4302,6798,15
9,apalache,NoError,28,0,567144,0,0,14461,23452,20
10,apalache,NoError,221,0,706304,0,0,20074,40225,20
11,apalache,NoError,1408,0,1284752,0,0,38851,74056,26
12,apalache,NoError,46,0,279976,0,0,2697,4672,12
13,apalache,NoError,3207,0,319652,0,0,3200,7053,12
14,apalache,NoError,2452,0,722300,0,0,18405,25472,11
15,apalache,NoError,6523,0,1077132,0,0,29815,41810,11
16,apalache,NoError,5554,0,1982024,0,0,73918,165412,25
