01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,5,0,216556,0,0,328,482,9
2,apalache,NoError,323,0,282948,0,0,1884,2577,13
3,apalache,NoError,779,0,479792,0,0,10882,18709,13
4,apalache,NoError,81,0,601852,0,0,27594,119223,17
5,apalache,NoError,2991,0,909172,0,0,68004,293625,17
6,apalache,NoError,8,0,261860,0,0,1486,2137,14
7,apalache,NoError,91,0,290532,0,0,2353,5350,21
8,apalache,NoError,13,0,357788,0,0,4302,6689,16
9,apalache,NoError,29,0,604656,0,0,14461,23343,21
10,apalache,NoError,183,0,730028,0,0,20071,37537,23
11,apalache,NoError,1717,0,1218720,0,0,38855,68422,31
12,apalache,NoError,45,0,314632,0,0,2697,4499,12
13,apalache,NoError,2970,0,344244,0,0,3200,6911,13
14,apalache,NoError,2031,0,495324,0,0,16326,20593,15
15,apalache,NoError,5802,0,680836,0,0,25872,32529,15
16,apalache,NoError,5051,0,2212544,0,0,73869,163064,27
