01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,199040,0,0,328,482,9
2,apalache,NoError,602,0,416124,0,0,1884,2580,13
3,apalache,NoError,898,0,568736,0,0,10894,18857,12
4,apalache,NoError,76,0,633968,0,0,27594,120244,17
5,apalache,NoError,3036,0,1582120,0,0,68004,296086,17
6,apalache,NoError,8,0,250692,0,0,1486,2192,13
7,apalache,NoError,102,0,278676,0,0,2353,5472,19
8,apalache,NoError,12,0,329760,0,0,4302,6798,15
9,apalache,NoError,23,0,535600,0,0,14461,23452,20
10,apalache,NoError,175,0,703552,0,0,20074,40225,20
11,apalache,NoError,1939,0,1247956,0,0,38851,74056,26
12,apalache,NoError,45,0,293388,0,0,2697,4672,12
13,apalache,NoError,3043,0,331356,0,0,3200,7053,12
14,apalache,NoError,3120,0,790368,0,0,18405,25472,11
15,apalache,NoError,8571,0,1222000,0,0,29815,41810,11
16,apalache,NoError,6119,0,1844356,0,0,73892,164403,25
