01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,16,0,542084,0,0,549,1521,10
2,apalache,NoError,50,0,801428,0,0,14903,37690,17
3,apalache,NoError,10,0,280028,0,0,805,2980,17
4,apalache,NoError,15,0,367568,0,0,3855,15480,18
5,apalache,NoError,9,0,293984,0,0,138,184,11
6,apalache,NoError,12,0,323592,0,0,614,1238,16
7,apalache,NoError,12,0,302988,0,0,369,2236,6
8,apalache,NoError,13,0,448840,0,0,3445,10111,18
