01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,12,0,489388,0,0,549,1495,10
2,apalache,NoError,100,0,974216,0,0,14901,36868,17
3,apalache,NoError,9,0,287216,0,0,805,2857,18
4,apalache,NoError,15,0,347520,0,0,3855,15111,18
5,apalache,NoError,8,0,301576,0,0,150,186,11
6,apalache,NoError,9,0,283072,0,0,734,1221,19
7,apalache,NoError,9,0,299396,0,0,369,2216,6
8,apalache,NoError,15,0,467088,0,0,3444,9987,18
