01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,319804,0,0,585,1890,8
2,apalache,NoError,46,1,622052,0,0,21461,99377,13
3,apalache,NoError,4,0,317468,0,0,842,3978,10
4,apalache,NoError,7,1,322316,0,0,3831,21474,12
5,apalache,NoError,4,0,284776,0,0,141,296,8
6,apalache,NoError,4,1,297748,0,0,657,2324,13
7,apalache,NoError,4,0,303608,0,0,364,2609,6
8,apalache,NoError,7,1,335632,0,0,4525,23395,13
