01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,10,0,359712,0,0,61,43,8
2,apalache,NoError,35,0,594156,0,0,14502,36648,17
3,apalache,NoError,8,0,310620,0,0,214,298,12
4,apalache,NoError,11,0,330612,0,0,3380,13202,18
5,apalache,NoError,7,0,256476,0,0,74,90,10
6,apalache,NoError,8,0,260312,0,0,614,1238,16
7,apalache,NoError,10,0,270560,0,0,27,74,4
8,apalache,NoError,10,0,362524,0,0,3200,9336,18
