01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,202572,0,0,324,458,9
2,apalache,NoError,413,0,382996,0,0,1874,2568,13
3,apalache,NoError,860,0,473372,0,0,10856,18699,12
4,apalache,NoError,55,0,587816,0,0,27187,118053,17
5,apalache,NoError,2727,0,1491084,0,0,67597,293895,17
6,apalache,NoError,7,0,232676,0,0,1458,2146,13
7,apalache,NoError,76,0,266668,0,0,2320,5387,19
8,apalache,NoError,10,0,298652,0,0,4302,6798,15
9,apalache,NoError,18,0,427700,0,0,14461,23452,20
10,apalache,NoError,122,0,647492,0,0,20063,40229,20
11,apalache,NoError,1618,0,1097948,0,0,38845,74080,26
12,apalache,NoError,33,0,244872,0,0,2565,4501,12
13,apalache,NoError,2282,0,324660,0,0,3184,6843,12
14,apalache,NoError,2938,0,711992,0,0,17887,24789,11
15,apalache,NoError,9075,0,1221432,0,0,28969,40704,11
16,apalache,NoError,3543,0,1392036,0,0,63716,133079,18
