01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,198520,0,0,312,442,9
2,apalache,NoError,167,0,244768,0,0,1874,2568,13
3,apalache,NoError,591,0,298140,0,0,10857,18775,12
4,apalache,NoError,46,0,539428,0,0,27079,117945,17
5,apalache,NoError,1918,0,792432,0,0,67327,293625,17
6,apalache,NoError,6,0,233672,0,0,1438,2146,13
7,apalache,NoError,84,0,251832,0,0,2300,5387,19
8,apalache,NoError,9,0,262532,0,0,4301,6797,15
9,apalache,NoError,28,0,471984,0,0,14460,23451,20
10,apalache,NoError,134,0,641612,0,0,20032,40140,20
11,apalache,NoError,1224,0,1099232,0,0,38807,73939,26
12,apalache,NoError,47,0,274764,0,0,2706,4751,12
13,apalache,NoError,2732,0,272728,0,0,3366,7173,12
14,apalache,NoError,1055,0,340128,0,0,15562,20095,13
15,apalache,NoError,5316,0,420960,0,0,24853,33017,13
16,apalache,NoError,3284,0,1275364,0,0,72600,111882,35
