01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,189448,0,0,324,458,9
2,apalache,NoError,414,0,395372,0,0,1874,2568,13
3,apalache,NoError,687,0,505992,0,0,10836,18656,12
4,apalache,NoError,52,0,547580,0,0,27187,118053,17
5,apalache,NoError,2360,0,1583376,0,0,67597,293895,17
6,apalache,NoError,6,0,236136,0,0,1458,2146,13
7,apalache,NoError,66,0,248460,0,0,2320,5387,19
8,apalache,NoError,9,0,310292,0,0,4302,6798,15
9,apalache,NoError,18,0,447648,0,0,14461,23452,20
10,apalache,NoError,103,0,605996,0,0,20057,40193,20
11,apalache,NoError,771,0,1048048,0,0,38837,74012,26
12,apalache,NoError,34,0,265156,0,0,2561,4455,12
13,apalache,NoError,2099,0,336204,0,0,3236,6857,12
14,apalache,NoError,2745,0,784896,0,0,17887,24789,11
15,apalache,NoError,7005,0,1221148,0,0,28969,40704,11
16,apalache,NoError,2434,0,1357572,0,0,63705,132961,18
