01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,3,0,191492,0,0,4,3,4
2,apalache,NoError,3,0,190388,0,0,31,37,10
3,apalache,Error,3,0,199820,0,0,44,60,11
4,apalache,Error,3,0,201836,0,0,48,75,12
5,apalache,Error,3,0,199420,0,0,52,94,12
6,apalache,Error,3,0,202072,0,0,56,117,11
7,apalache,Error,3,0,203400,0,0,60,144,11
8,apalache,Error,3,0,205616,0,0,64,175,10
9,apalache,NoError,3,0,186724,0,0,5,5,5
10,apalache,NoError,3,0,210224,0,0,51,61,12
11,apalache,NoError,3,0,195252,0,0,139,172,17
12,apalache,NoError,3,0,198460,0,0,259,327,22
13,apalache,NoError,5,0,210456,0,0,411,526,27
14,apalache,NoError,80,0,231192,0,0,595,769,32
15,apalache,Timeout,7200,0,3704,0,0,730,962,36
16,apalache,Timeout,7200,0,3656,0,0,776,1035,38
