01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,200700,0,0,324,458,9
2,apalache,NoError,509,0,439220,0,0,1874,2568,13
3,apalache,NoError,875,0,479632,0,0,10860,18712,12
4,apalache,NoError,61,0,581524,0,0,27187,118053,17
5,apalache,NoError,2822,0,1470128,0,0,67597,293895,17
6,apalache,NoError,8,0,285528,0,0,1458,2146,13
7,apalache,NoError,84,0,269736,0,0,2320,5387,19
8,apalache,NoError,11,0,314232,0,0,4302,6798,15
9,apalache,NoError,19,0,497736,0,0,14461,23452,20
10,apalache,NoError,91,0,639508,0,0,20058,40224,20
11,apalache,NoError,1475,0,1052320,0,0,38845,74080,26
12,apalache,NoError,45,0,264116,0,0,2657,4554,12
13,apalache,NoError,2535,0,277588,0,0,3346,7212,12
14,apalache,NoError,2177,0,650324,0,0,17887,24789,11
15,apalache,NoError,9493,0,1263952,0,0,28969,40704,11
16,apalache,NoError,3436,0,1409156,0,0,63725,133097,18
