01:no,02:tool,03:status,04:time_sec,05:depth,05:mem_kb,10:ninit_trans,11:ninit_trans,12:ncells,13:nclauses,14:navg_clause_len
1,apalache,NoError,4,0,189708,0,0,324,458,9
2,apalache,NoError,471,0,383432,0,0,1874,2568,13
3,apalache,NoError,982,0,508936,0,0,10834,18649,12
4,apalache,NoError,64,0,565612,0,0,27187,118053,17
5,apalache,NoError,3216,0,1580740,0,0,67597,293895,17
6,apalache,NoError,7,0,246104,0,0,1458,2146,13
7,apalache,NoError,82,0,263712,0,0,2320,5387,19
8,apalache,NoError,11,0,267324,0,0,4302,6798,15
9,apalache,NoError,18,0,450528,0,0,14461,23452,20
10,apalache,NoError,141,0,620088,0,0,20050,40178,20
11,apalache,NoError,899,0,1008492,0,0,38834,73988,26
12,apalache,NoError,45,0,254284,0,0,2657,4554,12
13,apalache,NoError,2428,0,262080,0,0,3111,6707,12
14,apalache,NoError,2642,0,671564,0,0,17887,24789,11
15,apalache,NoError,11129,0,1212840,0,0,28969,40704,11
16,apalache,NoError,2972,0,1416172,0,0,63734,133077,18
